S.No,Review,Rating ,Car
80,"                                        The Honda city has been India's most populer c-segment cat but it's now facing though competition from newcomers. The vtec engine is standard and continues to be refined. The interiors are spacious and reak of good build quality. Simply because they are buyers who appreciate it's clean styling, ...",5,3
81,"                                        Honda the company which is famous for its car which run on indian roads from as many years and also my family car I use to drive it lot we just upgrade to its new model launch in 2017 just a awesome one with full comfort, luxury, and reason for love a car its like a family member for us giving m...",5,3
82,                                        One of the most trusted and reliable brand in automation industry is Honda. Honda have renovated the public's favorite Honda City. Honda City S Petrol have that potential to rule the mid sized sedan car market for many more years. City S Petrol is now sexier then ever. Honda re-designed the fron...,3,3
83,                                        As the HONDA has launched the new CITY FACELIFT the competition in the market has been reached to its zenith.The car has the same engine as the previous one.The facelift model gives more wild and attractive look from front.Also there is not much difference between the mileage of the ...,4,3
84,"                                        Honda is all set to launch the refreshed city sedan in our market. The first set of images of the updated sedan have surfaced online.As reported earlier, the 2017 city gets styling tweaks and equipment additions similar to the thai-spec car.Honda has updated the city's front to a more fa...",5,3
85,"                                        Honda City Used a new headlights with DRL, LED taillights, foldable ORVMs with turn blinker, sunroof, shark-fin antenna, new alloy wheels and several other styling elements reflect the premium class of the car. With a long wheelbase, Honda City offers great cabin space for the driver and passeng...",5,3
86,"                                        Hi I am Ankit Madan from Punjab and I am buying this new model Honda city facelift vx 2017. which is launched on 14 feb 2017. I have already booked Honda city vx model at 14, 60000 rs on road price with zero dep. insurance policy.SPECIAL FEATURES-Honda city vx facelift is luxury car with...",4,3
87,                                        Honda city car is such a good and fuel efficient car it also has very good alloys jn new model it has new hd light on front its interior is very much good as compared to earlier its hd lights are very much attractive at nights it gives the car cool look it has now 16 inch alloys which gives more...,5,3
88,"                                        The car is so new features are added and they a medium space on inside of car, the fuel consumption is also good and they are very comfortable car to handle us they are so much things they looks is really awesome because they are in gray colour are classic look of this car this is better to use ...",3,3
89,"                                        Honda city 2017 is the facelift version of its predecessor model, which has been launched 3 yrs back. I owned Honda city 2014 model.as a user honda city I want to say that I love it value for money, comfortable from every angle, good fuel economy, u can ride this car for more then 10 yrs without...",5,3
90,                                        The car is having very good legroom and headroom and supports a very good boot as well.very comfortable in seating position.Dealer has all basic amenities for the service in our area as ler honda standards.very nice staff to assosiate with.Fuel consumption is good as per the engine capac...,3,3
91,"                                        Honda city 2017 new model is a good car for people who are living in urban areas, because according to its a symbol for dignity and pride, it contains large space for family to seat safe in the vechile and effectively the sensor system which stop vechile when we near to people it wiil stop autom...",4,3
